frame_index,sample_second,source_frame_index,crop_path,candidate_count,best_x,best_y,best_w,best_h,best_area,best_mean,best_max,dx_from_center,dy_from_center,confidence,notes
0,0.0,0,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0000.jpg,1,960,545,3,3,8,209.38,237,0,5,medium,compact low-saturation bright component; audit detector
1,1.0,30,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0001.jpg,1,960,543,5,3,12,215.83,236,0,3,strong,compact low-saturation bright component; audit detector
2,2.0,60,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0002.jpg,1,960,543,5,3,13,205.62,223,0,3,medium,compact low-saturation bright component; audit detector
3,3.0,90,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0003.jpg,4,963,541,8,4,25,214.04,229,3,1,medium,compact low-saturation bright component; audit detector
4,4.0,120,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0004.jpg,6,490,287,11,5,38,210.08,213,-470,-253,weak,compact low-saturation bright component; audit detector
5,5.0,150,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0005.jpg,11,817,458,53,20,440,235.76,255,-143,-82,strong,compact low-saturation bright component; audit detector
6,6.0,180,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0006.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
7,7.0,210,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0007.jpg,17,940,513,11,3,26,198.69,251,-20,-27,medium,compact low-saturation bright component; audit detector
8,8.0,240,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0008.jpg,12,945,513,8,3,18,187.11,253,-15,-27,weak,compact low-saturation bright component; audit detector
9,9.0,270,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0009.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
