case,video,record_id,second,frame_index,reticle_box_present,label_candidate_present,object_candidate_present,reticle_box_cx,reticle_box_cy,reticle_box_w,reticle_box_h,label_cx,label_cy,label_w,label_h,label_dx_from_reticle,label_dy_from_reticle,object_cx,object_cy,object_dx_from_reticle,object_dy_from_reticle,manual_label_text,manual_review_status,notes
PR36,DOD_111689030.mp4,DOW-UAP-PR36,0,0,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,1,30,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,2,60,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,3,90,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,4,120,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,5,150,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,6,180,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,7,210,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,8,240,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,9,270,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,10,300,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,11,330,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,12,360,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,13,390,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,14,420,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,15,450,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,16,480,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,17,510,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,18,540,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,19,570,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,20,600,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,21,630,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,22,660,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,23,690,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,24,720,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,25,750,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,26,780,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,27,810,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,28,840,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,29,870,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,30,900,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,31,930,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,32,960,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,33,990,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,34,1020,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,35,1050,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,36,1080,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,37,1110,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
PR36,DOD_111689030.mp4,DOW-UAP-PR36,38,1140,no,no,no,,,,,,,,,,,,,,,,not_applicable,No reticle-associated label component detected by survey.
